"Nombre   Tipo     Descripcion                                     Dimensiones   Precio       Disponibilidad   Fecha"
"Harald   mesa     interior blanco con curvas                      H60 L45 W37             70 en venta            19/02/2022"
"Ivar     cuadro   triangulos en 3 modulos, con piezas centrales   H45 L90                 45 en venta            18/02/2022"
"Kaysa    cuadro   curvas superpuestas                             H40 L60                 40 en venta            08/01/2022"
"Gisli    cuadro   sol                                             H45 L40                 30 en venta            22/01/2022"
"Lena     cuadro   X blanco clarito                                H70 L165               110 en venta            28/01/2022"
"Einar    cuadro   triangulos peque                                H33 L43                 25 en venta            22/01/2022"
"Ondina   cuadro   cilindros                                       H90 L30                 70 en venta            02/02/2022"
"Elin     cuadro   X amarillo y blanco                             H70 L165               130 en venta            15/02/2022"
"Dahlia   cuadro   pastel blue                                     H80 L40                 40 en venta            26/12/2021"
"Sven     cuadro   hexagonos                                       H40 L40                 55 en venta            24/01/2022"
"Lars     cuadro   triangulos snake                                H40 L50                 35 en venta            10/01/2022"
